Group,Sex,Time,Weight,GR
Sham,F,-1.556521739,406,10.41025641
Sham,F,-1.556521739,418,10.71794872
Sham,F,-1.556521739,446,11.43589744
Sham,F,-1.556521739,426,10.92307692
Sham,M,-0.556521739,386,9.65
Sham,M,-0.556521739,399,9.975
Sham,M,-0.556521739,334,8.35
Sham,M,-0.556521739,351,8.775
Sham,M,-0.556521739,350,8.75
Sham,M,-0.556521739,371,9.275
Sham,M,-0.556521739,422,10.55
Sham,M,-0.556521739,398,9.95
Sham,M,-0.556521739,352,8.8
Sham,M,-0.556521739,422,10.55
Sham,M,-0.556521739,386,9.65
Sham,M,-0.556521739,360,9
Sham,M,-0.556521739,413,10.325
Sham,F,-0.556521739,374,9.35
Sham,F,-0.556521739,460,11.5
Sham,F,-0.556521739,408,10.2
Sham,F,-0.556521739,375,9.375
Sham,F,-0.556521739,454,11.35
Sham,F,-0.556521739,385,9.625
Sham,F,-0.556521739,461,11.525
Sham,F,-0.556521739,442,11.05
Sham,F,-0.556521739,418,10.45
Sham,F,-0.556521739,300,7.5
Sham,F,-0.556521739,387,9.675
Sham,F,-0.556521739,412,10.3
Sham,F,-0.556521739,401,10.025
Sham,F,-0.556521739,424,10.6
Sham,F,-0.556521739,447,11.175
Sham,F,-0.556521739,396,9.9
Sham,F,-0.556521739,445,11.125
Sham,F,-0.556521739,486,12.15
Sham,F,-0.556521739,404,10.1
Sham,M,0.443478261,372,9.073170732
Sham,M,0.443478261,370,9.024390244
Sham,M,0.443478261,368,8.975609756
Sham,M,0.443478261,365,8.902439024
Sham,M,0.443478261,355,8.658536585
Sham,M,0.443478261,381,9.292682927
Sham,M,0.443478261,360,8.780487805
Sham,M,0.443478261,324,7.902439024
Sham,M,0.443478261,376,9.170731707
Sham,M,0.443478261,372,9.073170732
Sham,M,0.443478261,329,8.024390244
Sham,M,0.443478261,348,8.487804878
Sham,M,0.443478261,371,9.048780488
Sham,M,0.443478261,356,8.682926829
Sham,M,0.443478261,379,9.243902439
Sham,M,0.443478261,299,7.292682927
Sham,M,0.443478261,369,9
Sham,M,0.443478261,366,8.926829268
Sham,M,0.443478261,365,8.902439024
Sham,F,0.443478261,387,9.43902439
Sham,F,0.443478261,393,9.585365854
Sham,F,0.443478261,472,11.51219512
Sham,F,0.443478261,460,11.2195122
Sham,F,0.443478261,464,11.31707317
Sham,F,0.443478261,413,10.07317073
Sham,F,0.443478261,438,10.68292683
Sham,F,0.443478261,431,10.51219512
Sham,F,0.443478261,400,9.756097561
Sham,M,1.443478261,360,8.571428571
Sham,M,1.443478261,421,10.02380952
Sham,M,1.443478261,406,9.666666667
Sham,M,1.443478261,375,8.928571429
Sham,M,1.443478261,364,8.666666667
Sham,M,1.443478261,332,7.904761905
Sham,M,1.443478261,388,9.238095238
Sham,M,1.443478261,315,7.5
Sham,M,1.443478261,467,11.11904762
Sham,M,1.443478261,328,7.80952381
Sham,M,1.443478261,303,7.214285714
Sham,M,1.443478261,340,8.095238095
Sham,M,1.443478261,333,7.928571429
Sham,M,1.443478261,346,8.238095238
Sham,M,1.443478261,365,8.69047619
Sham,M,1.443478261,414,9.857142857
Sham,M,1.443478261,372,8.857142857
Sham,F,1.443478261,423,10.07142857
Sham,M,2.443478261,334,7.76744186
Sham,M,4.443478261,492,10.93333333
Sham,M,5.443478261,481,10.45652174
Sham,M,5.443478261,498,10.82608696
Sham,M,6.443478261,451,9.595744681
Sham,M,6.443478261,403,8.574468085
IR,F,-3.683168317,381,9.292682927
IR,F,-3.683168317,381,9.292682927
IR,F,-3.683168317,389,9.487804878
IR,F,-3.683168317,375,9.146341463
IR,F,-3.683168317,414,10.09756098
IR,F,-3.683168317,346,8.43902439
IR,F,-3.683168317,376,9.170731707
IR,F,-3.683168317,442,10.7804878
IR,F,-3.683168317,377,9.195121951
IR,F,-3.683168317,403,9.829268293
IR,F,-3.683168317,381,9.292682927
IR,F,-3.683168317,390,9.512195122
IR,F,-3.683168317,345,8.414634146
IR,M,-2.683168317,347,8.261904762
IR,M,-2.683168317,308,7.333333333
