replicate,treatment,sex,time,mass,rate
r2,bystfilm,F,36,378,10.5
r2,bystfilm,F,36,420,11.66666667
r2,bystfilm,F,36,442,12.27777778
r2,bystfilm,F,36,474,13.16666667
r2,bystfilm,F,36,412,11.44444444
r2,bystfilm,F,36,404,11.22222222
r2,bystfilm,F,36,512,14.22222222
r2,bystfilm,F,36,449,12.47222222
r2,bystfilm,F,36,377,10.47222222
r2,bystfilm,F,36,484,13.44444444
r2,bystfilm,F,37,348,9.405405405
r2,bystfilm,F,37,370,10
r2,bystfilm,F,37,396,10.7027027
r2,bystfilm,F,37,450,12.16216216
r2,bystfilm,F,37,615,16.62162162
r2,bystfilm,F,37,402,10.86486486
r2,bystfilm,F,37,415,11.21621622
r2,bystfilm,F,37,381,10.2972973
r2,bystfilm,F,37,411,11.10810811
r2,bystfilm,F,37,526,14.21621622
r2,bystfilm,F,38,535,14.07894737
r2,bystfilm,F,38,483,12.71052632
r2,bystfilm,F,38,370,9.736842105
r2,bystfilm,F,38,448,11.78947368
r2,bystfilm,F,38,380,10
r2,bystfilm,F,41,465,11.34146341
r2,bystfilm,F,41,368,8.975609756
r1,bystnofilm,M,37,413,11.16216216
r1,bystnofilm,M,37,452,12.21621622
r1,bystnofilm,M,37,446,12.05405405
r1,bystnofilm,M,37,353,9.540540541
r1,bystnofilm,M,37,404,10.91891892
r1,bystnofilm,M,37,308,8.324324324
r1,bystnofilm,M,38,352,9.263157895
r1,bystnofilm,M,38,315,8.289473684
r1,bystnofilm,M,38,434,11.42105263
r1,bystnofilm,M,38,346,9.105263158
r1,bystnofilm,M,38,452,11.89473684
r1,bystnofilm,M,38,374,9.842105263
r1,bystnofilm,M,38,342,9
r1,bystnofilm,M,38,388,10.21052632
r1,bystnofilm,M,38,313,8.236842105
r1,bystnofilm,M,38,353,9.289473684
r1,bystnofilm,M,38,325,8.552631579
r1,bystnofilm,M,38,374,9.842105263
r1,bystnofilm,M,38,328,8.631578947
r1,bystnofilm,M,38,356,9.368421053
r1,bystnofilm,M,38,335,8.815789474
r1,bystnofilm,M,39,342,8.769230769
r1,bystnofilm,M,39,364,9.333333333
r1,bystnofilm,M,39,397,10.17948718
r1,bystnofilm,M,39,356,9.128205128
r1,bystnofilm,M,39,298,7.641025641
r1,bystnofilm,M,39,333,8.538461538
r1,bystnofilm,M,41,476,11.6097561
r1,bystnofilm,M,42,423,10.07142857
r1,bystnofilm,M,42,481,11.45238095
r1,bystnofilm,M,43,501,11.65116279
r1,bystnofilm,M,44,365,8.295454545
r1,bystnofilm,M,44,302,6.863636364
r1,bystnofilm,F,35,410,11.71428571
r1,bystnofilm,F,36,413,11.47222222
r1,bystnofilm,F,36,448,12.44444444
r1,bystnofilm,F,36,431,11.97222222
r1,bystnofilm,F,36,482,13.38888889
r1,bystnofilm,F,36,460,12.77777778
r1,bystnofilm,F,36,417,11.58333333
r1,bystnofilm,F,36,402,11.16666667
r1,bystnofilm,F,36,459,12.75
r1,bystnofilm,F,36,466,12.94444444
r1,bystnofilm,F,37,395,10.67567568
r1,bystnofilm,F,37,438,11.83783784
r1,bystnofilm,F,37,414,11.18918919
r1,bystnofilm,F,37,383,10.35135135
r1,bystnofilm,F,37,409,11.05405405
r1,bystnofilm,F,38,387,10.18421053
r1,bystnofilm,F,38,355,9.342105263
r1,bystnofilm,F,41,503,12.26829268
r1,bystnofilm,F,42,482,11.47619048
r1,bystnofilm,F,42,591,14.07142857
r1,bystnofilm,F,43,469,10.90697674
r1,bystnofilm,F,43,517,12.02325581
r1,bystnofilm,F,43,288,6.697674419
r2,bystnofilm,M,37,408,11.02702703
r2,bystnofilm,M,37,403,10.89189189
r2,bystnofilm,M,38,442,11.63157895
r2,bystnofilm,M,38,418,11
r2,bystnofilm,M,38,401,10.55263158
r2,bystnofilm,M,38,420,11.05263158
r2,bystnofilm,M,38,340,8.947368421
r2,bystnofilm,M,38,316,8.315789474
r2,bystnofilm,M,38,407,10.71052632
r2,bystnofilm,M,38,354,9.315789474
r2,bystnofilm,M,39,336,8.615384615
r2,bystnofilm,M,39,403,10.33333333
r2,bystnofilm,M,39,426,10.92307692
r2,bystnofilm,M,39,338,8.666666667
r2,bystnofilm,M,39,336,8.615384615
r2,bystnofilm,M,39,354,9.076923077
r2,bystnofilm,M,39,401,10.28205128
r2,bystnofilm,M,39,385,9.871794872
r2,bystnofilm,M,39,386,9.897435897
r2,bystnofilm,M,39,372,9.538461538
r2,bystnofilm,M,40,384,9.6
r2,bystnofilm,M,40,399,9.975
r2,bystnofilm,M,40,413,10.325
r2,bystnofilm,M,40,318,7.95
r2,bystnofilm,M,40,382,9.55
r2,bystnofilm,M,41,285,6.951219512
r2,bystnofilm,M,44,356,8.090909091
r2,bystnofilm,F,36,499,13.86111111
r2,bystnofilm,F,37,411,11.10810811
r2,bystnofilm,F,37,440,11.89189189
r2,bystnofilm,F,37,477,12.89189189
r2,bystnofilm,F,37,363,9.810810811
r2,bystnofilm,F,37,399,10.78378378
r2,bystnofilm,F,37,434,11.72972973
r2,bystnofilm,F,37,391,10.56756757
r2,bystnofilm,F,37,374,10.10810811
r2,bystnofilm,F,37,486,13.13513514
r2,bystnofilm,F,37,502,13.56756757
r2,bystnofilm,F,37,434,11.72972973
r2,bystnofilm,F,38,370,9.736842105
r2,bystnofilm,F,38,443,11.65789474
r2,bystnofilm,F,38,370,9.736842105
r2,bystnofilm,F,38,480,12.63157895
r2,bystnofilm,F,38,523,13.76315789
r2,bystnofilm,F,38,513,13.5
r2,bystnofilm,F,38,432,11.36842105
r2,bystnofilm,F,38,395,10.39473684
r2,bystnofilm,F,38,453,11.92105263
r2,bystnofilm,F,38,471,12.39473684
r2,bystnofilm,F,39,327,8.384615385
r2,bystnofilm,F,41,440,10.73170732
r2,bystnofilm,F,42,531,12.64285714
r2,bystnofilm,F,43,517,12.02325581
r2,bystnofilm,F,43,481,11.18604651
r2,bystnofilm,F,43,476,11.06976744
r2,bystnofilm,F,44,514,11.68181818
r2,bystnofilm,F,44,347,7.886363636
